method,text_prompt,test/clip_score,test/clip_directional_score,val/lpips,val/psnr,val/ssim
dge-iclight,"stamp, detailed texture, natural lighting, outdoor, sunlight from right",0.1941174864768982,0.015253584831953,0.1427459716796875,23.787302017211918,0.7473673820495605
dge-iclight,"bonsai, detailed leaves, sunshine, indoor, natural atmosphere, sunlight from left",0.299022912979126,0.0576394088566303,0.1010589599609375,22.212093353271484,0.7522180676460266
dge-iclight,"table, detailed surface, warm atmosphere, indoor, sunlight from left",0.2008430063724517,0.0905887857079505,0.0754814147949218,24.385446548461918,0.8071805834770203
dge-iclight,"table, detailed surface, warm atmosphere, indoor, sunlight from top",0.1909745633602142,0.1322030276060104,0.0811767578125,23.409503936767575,0.7977224588394165
dge-iclight,"bonsai, detailed leaves, sunshine, indoor, natural atmosphere, sunlight from bottom",0.2840637266635895,0.0553610436618328,0.1050186157226562,21.9913387298584,0.7386477589607239
dge,"stamp, detailed texture, natural lighting, outdoor, sunlight from front",0.1766527891159057,0.0355643108487129,0.1185684204101562,23.08155632019043,0.7320772409439087
dge,"lego, detailed structure, indoor, warm atmosphere, sunlight from bottom",0.2218015342950821,0.0042834249325096,0.0499610900878906,28.500293731689453,0.8568533062934875
dge,"lego, detailed structure, indoor, warm atmosphere, sunlight from left",0.2282173335552215,0.0119754085317254,0.0506439208984375,28.33550262451172,0.8472713828086853
dge,"tree, detailed leaves, sunshine, outdoor, warm atmosphere, sunlight from right",0.2201557904481887,0.0835305452346801,0.1111068725585937,23.11481094360352,0.7363535761833191
dge,"tree, detailed leaves, sunshine, outdoor, warm atmosphere, sunlight from front",0.2153369784355163,0.0827526599168777,0.115234375,22.82469367980957,0.7303175330162048
dge,"television, detailed screen, shadow from window, indoor, sunlight from top",0.1951940059661865,0.0279216431081295,0.0379238128662109,36.99781799316406,0.9828906059265136
dge,"wooden table, detailed texture, sunset over garden, outdoor, warm atmosphere, sunlight from left",,,0.1080856323242187,23.20165634155273,0.6982191205024719
dge,"table, detailed surface, warm atmosphere, indoor, sunlight from right",0.1800568997859954,0.0520910359919071,0.0325603485107421,35.062164306640625,0.9393879771232604
dge,"bicycle, detailed structure, sunshine, outdoor, warm atmosphere, sunlight from top",0.2378290146589279,0.076842725276947,0.0999755859375,24.50181198120117,0.7799335718154907
dge,"bonsai, detailed leaves, sunshine, indoor, natural atmosphere, sunlight from right",0.283322662115097,0.046016551554203,0.1176681518554687,25.9053897857666,0.7463349103927612
dge,"bicycle, detailed structure, sunshine, outdoor, warm atmosphere, sunlight from right",0.2441710084676742,0.0787917003035545,0.1014175415039062,24.333126068115234,0.7767566442489624
dge,"bonsai, detailed leaves, sunshine, indoor, natural atmosphere, sunlight from front",0.2896023094654083,0.0561361573636531,0.1152191162109375,25.543237686157227,0.7432213425636292
